pkg_name,time,counts
montreal-forced-aligner,2021-11,760
montreal-forced-aligner,2021-12,1056
montreal-forced-aligner,2022-01,2074
montreal-forced-aligner,2022-02,1714
montreal-forced-aligner,2022-03,1527
montreal-forced-aligner,2022-04,2481
montreal-forced-aligner,2022-05,4181
montreal-forced-aligner,2022-06,4688
montreal-forced-aligner,2022-07,4152
montreal-forced-aligner,2022-08,3282
montreal-forced-aligner,2022-09,3797
montreal-forced-aligner,2022-10,3346
montreal-forced-aligner,2022-11,4947
montreal-forced-aligner,2022-12,2692
montreal-forced-aligner,2023-01,2328
montreal-forced-aligner,2023-02,2265
montreal-forced-aligner,2023-03,2440
montreal-forced-aligner,2023-04,1752
montreal-forced-aligner,2023-05,1741
montreal-forced-aligner,2023-06,1739
montreal-forced-aligner,2023-07,1773
montreal-forced-aligner,2023-08,860
montreal-forced-aligner,2023-09,906
montreal-forced-aligner,2023-10,983
montreal-forced-aligner,2023-11,919
montreal-forced-aligner,2023-12,402
montreal-forced-aligner,2024-01,1212
montreal-forced-aligner,2024-02,855
montreal-forced-aligner,2024-03,11903
montreal-forced-aligner,2024-04,40217
