Begin,End,Label,Type,Speaker
0.0,0.5,montreal,words,kaylynn
0.5,0.86,forced,words,kaylynn
0.86,1.344437,aligner,words,kaylynn
0.0,0.06,m,phones,kaylynn
0.06,0.13,ɑ,phones,kaylynn
0.13,0.17,n,phones,kaylynn
0.17,0.26,tʲ,phones,kaylynn
0.26,0.31,ɹ,phones,kaylynn
0.31,0.37,i,phones,kaylynn
0.37,0.47,ɒ,phones,kaylynn
0.47,0.5,ɫ,phones,kaylynn
0.5,0.63,f,phones,kaylynn
0.63,0.66,ɒ,phones,kaylynn
0.66,0.73,ɹ,phones,kaylynn
0.73,0.81,s,phones,kaylynn
0.81,0.86,t,phones,kaylynn
0.86,0.91,ə,phones,kaylynn
0.91,0.98,l,phones,kaylynn
0.98,1.12,aj,phones,kaylynn
1.12,1.18,n,phones,kaylynn
1.18,1.344437,ɚ,phones,kaylynn
