feature,midpoint,frame,coefficient
0,0.0,0,1.9107084
1,0.0,0,-2.3079898
2,0.0,0,0.50630414
3,0.0,0,0.9000135
4,0.0,0,2.2147906
5,0.0,0,1.5663593
6,0.0,0,-0.06672896
7,0.0,0,0.4026193
8,0.0,0,-0.88724214
9,0.0,0,0.73483056
10,0.0,0,1.4499004
11,0.0,0,1.2824544
12,0.0,0,0.09904985
13,0.0,0,-0.64664197
14,0.0,0,-0.035187416
15,0.0,0,-0.5525499
16,0.0,0,0.84118545
17,0.0,0,0.04425626
18,0.0,0,-0.18504992
19,0.0,0,-0.49223384
20,0.0,0,2.0581236
21,0.0,0,0.8507505
22,0.0,0,0.3010802
23,0.0,0,-0.5165454
24,0.0,0,-0.44462314
25,0.0,0,-1.1638578
26,0.0,0,0.7458932
27,0.0,0,-0.31324038
28,0.0,0,1.143477
29,0.0,0,0.6140962
30,0.0,0,1.1383244
31,0.0,0,-0.11694937
32,0.0,0,5.3550925
33,0.0,0,0.8307544
34,0.0,0,0.96310896
35,0.0,0,-0.15942058
36,0.0,0,0.2821064
37,0.0,0,-0.47052804
38,0.0,0,5.161965
39,0.0,0,-0.06876187
0,0.01,1,1.5239689
1,0.01,1,-2.2132478
2,0.01,1,0.36097816
3,0.01,1,5.973417
4,0.01,1,1.9487166
5,0.01,1,1.1499681
6,0.01,1,-0.08488742
7,0.01,1,-0.31401223
8,0.01,1,-2.352631
9,0.01,1,0.982527
10,0.01,1,0.5702116
11,0.01,1,4.8548203
12,0.01,1,0.09440995
13,0.01,1,-0.7515129
14,0.01,1,0.8272656
15,0.01,1,0.8220761
16,0.01,1,0.4478649
17,0.01,1,-1.0031337
18,0.01,1,-0.545641
19,0.01,1,-0.18556644
20,0.01,1,2.1915822
21,0.01,1,0.358925
22,0.01,1,0.20077088
23,0.01,1,-1.2409621
24,0.01,1,-0.6345485
25,0.01,1,-1.4399269
26,0.01,1,0.63477343
27,0.01,1,0.33044466
28,0.01,1,0.39377883
29,0.01,1,0.0888999
30,0.01,1,1.3482605
31,0.01,1,0.20018116
32,0.01,1,-0.59225965
33,0.01,1,0.30814067
34,0.01,1,0.50153047
35,0.01,1,0.5060118
36,0.01,1,0.53739554
37,0.01,1,-1.1586188
38,0.01,1,2.746525
39,0.01,1,-0.5421833
0,0.02,2,0.8595319
1,0.02,2,-1.8204541
2,0.02,2,3.2816112
3,0.02,2,1.965304
4,0.02,2,1.4967648
5,0.02,2,1.0180248
6,0.02,2,-0.34748346
7,0.02,2,-0.7101632
8,0.02,2,-1.6792215
9,0.02,2,0.9164505
10,0.02,2,-1.5700866
11,0.02,2,0.67149824
12,0.02,2,-1.8029785
13,0.02,2,-1.1165048
14,0.02,2,2.5098884
15,0.02,2,5.5299945
16,0.02,2,0.2535286
17,0.02,2,-4.292446
18,0.02,2,1.7569914
19,0.02,2,-0.2919088
20,0.02,2,2.0008473
21,0.02,2,-1.4219507
22,0.02,2,-0.5987737
23,0.02,2,-1.2326574
24,0.02,2,-0.5241523
25,0.02,2,-1.3339927
26,0.02,2,0.73974437
27,0.02,2,0.9523493
28,0.02,2,-0.678571
29,0.02,2,-0.022140447
30,0.02,2,1.0981487
31,0.02,2,-0.7921922
32,0.02,2,-1.3340505
33,0.02,2,0.5114283
34,0.02,2,0.47087866
35,0.02,2,0.8013941
36,0.02,2,0.66958064
37,0.02,2,-0.7656403
38,0.02,2,0.48283538
39,0.02,2,-0.37071282
0,0.03,3,0.8691788
1,0.03,3,-1.8073158
2,0.03,3,1.9699029
3,0.03,3,-0.34221268
4,0.03,3,1.0611322
5,0.03,3,0.8526151
6,0.03,3,-0.08077618
7,0.03,3,-1.7035296
8,0.03,3,-0.22800173
9,0.03,3,0.971415
10,0.03,3,-1.4333925
11,0.03,3,-1.2835088
12,0.03,3,-3.0539157
13,0.03,3,-1.1732247
14,0.03,3,3.0583193
15,0.03,3,2.1988647
16,0.03,3,0.30219117
17,0.03,3,-3.2669404
18,0.03,3,6.789648
19,0.03,3,-0.5183654
20,0.03,3,1.9369104
21,0.03,3,3.6512527
22,0.03,3,-0.9521186
23,0.03,3,-0.5418934
24,0.03,3,-0.30385956
25,0.03,3,-0.8255517
26,0.03,3,0.8761777
27,0.03,3,0.51563793
28,0.03,3,-0.100615755
29,0.03,3,0.50511
30,0.03,3,0.9923395
31,0.03,3,-0.56572956
32,0.03,3,0.38660786
33,0.03,3,-1.6399653
34,0.03,3,0.3790036
35,0.03,3,0.18113665
36,0.03,3,0.3185836
37,0.03,3,-0.2748091
38,0.03,3,0.4931328
39,0.03,3,2.275097
0,0.04,4,0.08879254
1,0.04,4,-1.3597037
2,0.04,4,0.6698676
3,0.04,4,0.042073593
4,0.04,4,0.56251353
5,0.04,4,0.3515134
6,0.04,4,-0.7419918
7,0.04,4,-2.7770536
8,0.04,4,0.91272515
9,0.04,4,0.8371639
10,0.04,4,-0.25230563
11,0.04,4,0.060479704
12,0.04,4,-0.6307135
13,0.04,4,-1.4634124
14,0.04,4,3.6296587
15,0.04,4,-1.3218037
16,0.04,4,0.24666212
17,0.04,4,-0.20243149
18,0.04,4,0.8199001
19,0.04,4,-1.1121624
20,0.04,4,1.7821788
21,0.04,4,1.695067
22,0.04,4,-1.8794392
23,0.04,4,0.8373938
24,0.04,4,-0.3040605
25,0.04,4,-0.55279857
26,0.04,4,0.077118926
27,0.04,4,-0.04379553
28,0.04,4,1.6865746
29,0.04,4,1.0057317
30,0.04,4,0.94436437
31,0.04,4,-0.67510545
32,0.04,4,0.31652376
33,0.04,4,-3.4331582
34,0.04,4,0.017699385
35,0.04,4,0.3317121
36,0.04,4,-0.8938696
37,0.04,4,0.045950495
38,0.04,4,0.6628451
39,0.04,4,2.4034715
0,0.05,5,-0.03704698
1,0.05,5,-0.9601584
2,0.05,5,-0.6810654
3,0.05,5,1.7195585
4,0.05,5,-0.11442084
5,0.05,5,0.27443603
6,0.05,5,-0.63259995
7,0.05,5,-4.319746
8,0.05,5,0.9644288
9,0.05,5,0.5039876
10,0.05,5,0.55095035
11,0.05,5,0.43511158
12,0.05,5,-0.5111916
13,0.05,5,-1.3927097
14,0.05,5,2.9171836
15,0.05,5,0.47552156
16,0.05,5,0.2473963
17,0.05,5,1.4991636
18,0.05,5,-1.1681197
19,0.05,5,-1.4484185
20,0.05,5,1.516631
21,0.05,5,-0.4519724
22,0.05,5,-1.9731313
23,0.05,5,0.6371813
24,0.05,5,-0.16791098
25,0.05,5,-0.44996718
26,0.05,5,-0.21737729
27,0.05,5,-1.1458575
28,0.05,5,2.8053687
29,0.05,5,0.3909697
30,0.05,5,0.95567745
31,0.05,5,-0.6881153
32,0.05,5,0.4322277
33,0.05,5,-1.8313944
34,0.05,5,-0.23185974
35,0.05,5,0.62994534
36,0.05,5,-0.06889567
37,0.05,5,-0.11714246
38,0.05,5,-1.7030312
39,0.05,5,-1.2119377
0,0.06,6,-0.08021841
1,0.06,6,-0.4441713
2,0.06,6,-1.0176232
3,0.06,6,-1.198778
4,0.06,6,-0.61159575
5,0.06,6,0.14595523
6,0.06,6,-0.12699898
7,0.06,6,-4.036104
8,0.06,6,0.08612277
9,0.06,6,0.40028164
10,0.06,6,0.61693853
11,0.06,6,0.32020873
12,0.06,6,0.66229194
13,0.06,6,-1.3403789
14,0.06,6,2.0489538
15,0.06,6,2.020181
16,0.06,6,0.5278846
17,0.06,6,1.9713271
18,0.06,6,0.5809201
19,0.06,6,-1.7349539
20,0.06,6,1.323342
21,0.06,6,-2.8155956
22,0.06,6,-1.920689
23,0.06,6,0.019004526
24,0.06,6,-0.0008497873
25,0.06,6,-0.010411973
26,0.06,6,-0.004996448
27,0.06,6,-0.8736264
28,0.06,6,0.26212695
29,0.06,6,0.08589896
30,0.06,6,0.6729866
31,0.06,6,-0.39830685
32,0.06,6,0.36227855
33,0.06,6,-0.1676696
34,0.06,6,-0.59644526
35,0.06,6,0.7497841
36,0.06,6,0.3141585
37,0.06,6,-0.79428136
38,0.06,6,0.75876945
39,0.06,6,-2.4766042
0,0.07,7,-0.064691976
1,0.07,7,0.27951804
2,0.07,7,-0.4651984
3,0.07,7,0.50814843
4,0.07,7,-1.2220947
5,0.07,7,0.0655217
6,0.07,7,0.13096271
7,0.07,7,-2.7177687
8,0.07,7,-0.57352334
9,0.07,7,0.5974108
10,0.07,7,0.26027834
11,0.07,7,-0.08695882
12,0.07,7,1.3054239
13,0.07,7,-0.9870105
14,0.07,7,0.107020825
15,0.07,7,-1.8207035
16,0.07,7,0.5327187
17,0.07,7,1.4943211
18,0.07,7,3.5291178
19,0.07,7,-1.9665469
20,0.07,7,1.1169704
21,0.07,7,-2.4864817
22,0.07,7,-1.7061487
23,0.07,7,0.1998517
24,0.07,7,0.15156929
25,0.07,7,0.18035734
26,0.07,7,-0.33206713
27,0.07,7,-0.07745249
28,0.07,7,-2.3418026
29,0.07,7,-0.6216312
30,0.07,7,0.4001105
31,0.07,7,0.2379264
32,0.07,7,-0.41757607
33,0.07,7,0.24978206
34,0.07,7,-0.8004052
35,0.07,7,0.77450675
36,0.07,7,0.8791798
37,0.07,7,-0.7609685
38,0.07,7,0.052204195
39,0.07,7,-0.66913694
0,0.08,8,-0.28112403
1,0.08,8,1.1222183
2,0.08,8,-0.4475286
3,0.08,8,0.30929238
4,0.08,8,-1.7434527
5,0.08,8,0.14190468
6,0.08,8,0.28271052
7,0.08,8,-1.2116973
8,0.08,8,-0.6199166
9,0.08,8,0.6811169
10,0.08,8,0.20777303
11,0.08,8,-0.2547957
12,0.08,8,-0.3778964
13,0.08,8,-1.2351103
14,0.08,8,-1.179546
15,0.08,8,-0.1682798
16,0.08,8,0.50522286
17,0.08,8,0.9356676
18,0.08,8,0.8638563
19,0.08,8,-0.8481154
20,0.08,8,0.7297936
21,0.08,8,-1.4117337
22,0.08,8,-0.50141674
23,0.08,8,0.39898077
24,0.08,8,0.32755426
25,0.08,8,0.45597637
26,0.08,8,-0.20071226
27,0.08,8,0.5492923
28,0.08,8,-0.6979965
29,0.08,8,-0.75713146
30,0.08,8,0.38222703
31,0.08,8,0.593048
32,0.08,8,-0.41580036
33,0.08,8,-0.0059009367
34,0.08,8,-1.1006972
35,0.08,8,1.2314031
36,0.08,8,0.735249
37,0.08,8,-0.22622353
38,0.08,8,-0.37982157
39,0.08,8,0.08520458
0,0.09,9,-0.506332
1,0.09,9,1.4738604
2,0.09,9,0.19617163
3,0.09,9,-0.10814042
4,0.09,9,-1.6844538
5,0.09,9,0.19044933
6,0.09,9,0.33322003
7,0.09,9,-0.23479055
8,0.09,9,-0.70975125
9,0.09,9,0.84300077
10,0.09,9,-0.7126306
11,0.09,9,-0.08100228
12,0.09,9,-0.3711648
13,0.09,9,-1.3206676
14,0.09,9,-1.7165633
15,0.09,9,-0.21005644
16,0.09,9,0.6550124
17,0.09,9,0.60069716
18,0.09,9,0.60673547
19,0.09,9,0.4504846
20,0.09,9,0.58216286
21,0.09,9,-0.5632071
22,0.09,9,0.16230619
23,0.09,9,0.28558406
24,0.09,9,0.6054283
25,0.09,9,0.48528543
26,0.09,9,0.040101714
27,0.09,9,-0.29870418
28,0.09,9,0.5835341
29,0.09,9,-0.75665116
30,0.09,9,0.36709934
31,0.09,9,1.0945278
32,0.09,9,-0.43058565
33,0.09,9,-0.41964534
34,0.09,9,-1.2070733
35,0.09,9,1.0207709
36,0.09,9,0.08100181
37,0.09,9,0.8403827
38,0.09,9,-0.793981
39,0.09,9,-0.4026438
0,0.1,10,-0.6473833
1,0.1,10,1.4244733
2,0.1,10,0.24517179
3,0.1,10,-0.4789869
4,0.1,10,-1.412229
5,0.1,10,0.26637852
6,0.1,10,0.29917362
7,0.1,10,0.3052811
8,0.1,10,-0.35187712
9,0.1,10,0.8736988
10,0.1,10,-1.242187
11,0.1,10,0.109301165
12,0.1,10,-0.26575917
13,0.1,10,-1.3098422
14,0.1,10,-2.150946
15,0.1,10,-0.4530063
16,0.1,10,0.6336548
17,0.1,10,0.76378214
18,0.1,10,0.25540653
19,0.1,10,1.4367396
20,0.1,10,0.4317955
21,0.1,10,-0.29741317
22,0.1,10,0.32643208
23,0.1,10,0.087189846
24,0.1,10,0.77747893
25,0.1,10,0.23620915
26,0.1,10,0.21483485
27,0.1,10,-0.8294016
28,0.1,10,0.15502958
29,0.1,10,-0.61027694
30,0.1,10,0.4566823
31,0.1,10,0.9188113
32,0.1,10,0.18508951
33,0.1,10,-0.46497303
34,0.1,10,-1.3709886
35,0.1,10,0.6237271
36,0.1,10,0.3351939
37,0.1,10,0.73977953
38,0.1,10,-1.0417765
39,0.1,10,-0.8029692
0,0.11,11,-0.7719785
1,0.11,11,1.1647171
2,0.11,11,-0.1392976
3,0.11,11,-0.7603877
4,0.11,11,-0.9773354
5,0.11,11,0.30916354
6,0.11,11,-0.057033386
7,0.11,11,1.4587662
8,0.11,11,0.89465535
9,0.11,11,0.7756816
10,0.11,11,-0.18387829
11,0.11,11,0.6428271
12,0.11,11,-0.51306945
13,0.11,11,-1.0978129
14,0.11,11,-2.3257506
15,0.11,11,-0.7154406
16,0.11,11,0.34351024
17,0.11,11,1.9723552
18,0.11,11,0.05360027
19,0.11,11,2.3047113
20,0.11,11,0.13805373
21,0.11,11,0.00495364
22,0.11,11,0.51994324
23,0.11,11,-0.20089799
24,0.11,11,0.6774455
25,0.11,11,-0.40297633
26,0.11,11,-0.23398755
27,0.11,11,-0.18486322
28,0.11,11,-1.288351
29,0.11,11,-0.05918682
30,0.11,11,0.64043593
31,0.11,11,0.3279859
32,0.11,11,1.2468884
33,0.11,11,-0.41871136
34,0.11,11,-1.597356
35,0.11,11,-0.13180034
36,0.11,11,1.2193207
37,0.11,11,0.45244518
38,0.11,11,-1.3172501
39,0.11,11,0.34110686
0,0.12,12,-0.70848286
1,0.12,12,0.9530571
2,0.12,12,-0.45379907
3,0.12,12,-0.23031253
4,0.12,12,-0.4996668
5,0.12,12,0.35676965
6,0.12,12,-0.41414326
7,0.12,12,2.0783486
8,0.12,12,1.619644
9,0.12,12,0.8163721
10,0.12,12,0.74045557
11,0.12,12,1.1053965
12,0.12,12,-0.38863018
13,0.12,12,-1.0033916
14,0.12,12,-1.8392198
15,0.12,12,-0.6269794
16,0.12,12,0.18741871
17,0.12,12,0.58540606
18,0.12,12,-0.5827634
19,0.12,12,2.35473
20,0.12,12,-0.11535259
21,0.12,12,-0.61072624
22,0.12,12,1.1249384
23,0.12,12,-0.6658743
24,0.12,12,0.6384083
25,0.12,12,-0.9743677
26,0.12,12,-0.14515822
27,0.12,12,0.41417497
28,0.12,12,-1.6586173
