feature,midpoint,frame,coefficient
0,0.0,0,-7.8594275
1,0.0,0,-14.100502
2,0.0,0,9.446705
3,0.0,0,27.656769
4,0.0,0,8.04589
5,0.0,0,4.3435597
6,0.0,0,4.0469255
7,0.0,0,-5.7893453
8,0.0,0,-12.420687
9,0.0,0,-10.104462
10,0.0,0,24.371996
11,0.0,0,-13.882812
12,0.0,0,-9.43789
0,0.01,1,-1.9797726
1,0.01,1,-1.6276859
2,0.01,1,17.336548
3,0.01,1,33.330772
4,0.01,1,17.402628
5,0.01,1,0.97637606
6,0.01,1,2.7358694
7,0.01,1,-6.481076
8,0.01,1,-25.61603
9,0.01,1,-6.924013
10,0.01,1,16.384789
11,0.01,1,-21.223282
12,0.01,1,-16.459862
0,0.02,2,-1.3434906
1,0.02,2,0.10992798
2,0.02,2,20.52068
3,0.02,2,31.585827
4,0.02,2,10.301194
5,0.02,2,-4.7067995
6,0.02,2,2.2494526
7,0.02,2,-20.120296
8,0.02,2,-21.41793
9,0.02,2,-18.394995
10,0.02,2,28.526775
11,0.02,2,-18.159332
12,0.02,2,-9.898413
0,0.03,3,-0.8975353
1,0.03,3,-4.10398
2,0.03,3,18.787893
3,0.03,3,28.931942
4,0.03,3,7.537975
5,0.03,3,-2.8337517
6,0.03,3,-1.2015591
7,0.03,3,-13.081108
8,0.03,3,-19.743422
9,0.03,3,-7.9192886
10,0.03,3,31.169628
11,0.03,3,-1.8627157
12,0.03,3,-5.928879
0,0.04,4,-0.41501427
1,0.04,4,-3.5874264
2,0.04,4,17.165087
3,0.04,4,15.163018
4,0.04,4,-1.7880259
5,0.04,4,-10.413449
6,0.04,4,12.008605
7,0.04,4,-3.4079585
8,0.04,4,-15.3324995
9,0.04,4,-16.189632
10,0.04,4,16.05027
11,0.04,4,-6.775115
12,0.04,4,-6.752716
0,0.05,5,0.5442734
1,0.05,5,10.544065
2,0.05,5,-2.510397
3,0.05,5,-11.436246
4,0.05,5,-18.234432
5,0.05,5,-0.7119646
6,0.05,5,16.086702
7,0.05,5,-3.9609485
8,0.05,5,-10.115375
9,0.05,5,-23.010803
10,0.05,5,11.745005
11,0.05,5,-3.1656027
12,0.05,5,-8.156729
0,0.06,6,1.1828194
1,0.06,6,12.240151
2,0.06,6,-11.196089
3,0.06,6,-18.033756
4,0.06,6,-22.53487
5,0.06,6,14.539106
6,0.06,6,16.305204
7,0.06,6,4.5034904
8,0.06,6,-6.7735577
9,0.06,6,-14.840834
10,0.06,6,3.4005375
11,0.06,6,5.2976465
12,0.06,6,-10.441515
0,0.07,7,1.5505486
1,0.07,7,11.533017
2,0.07,7,-13.300518
3,0.07,7,-18.289577
4,0.07,7,-24.916637
5,0.07,7,16.175327
6,0.07,7,18.376139
7,0.07,7,-1.5261512
