model_type,version,language,dialect,phoneset,count
g2p,v3.0.0,vietnamese,hue,mfa,0
g2p,v3.0.0,vietnamese,ho_chi_minh_city,mfa,1
g2p,v3.0.0,vietnamese,hanoi,mfa,5
dictionary,v3.0.0,vietnamese,,mfa,14
dictionary,v3.0.0,vietnamese,ho_chi_minh_city,mfa,2
dictionary,v3.0.0,vietnamese,hanoi,mfa,9
acoustic,v3.0.0,vietnamese,,mfa,21
g2p,v3.0.0,ukrainian,,mfa,1
dictionary,v3.0.0,ukrainian,,mfa,2
acoustic,v3.0.0,ukrainian,,mfa,2
g2p,v3.0.0,turkish,,mfa,4
g2p,v3.0.0,swedish,,mfa,1
dictionary,v3.0.0,turkish,,mfa,14
dictionary,v3.0.0,swedish,,mfa,7
acoustic,v3.0.0,turkish,,mfa,13
acoustic,v3.0.0,swedish,,mfa,6
g2p,v3.0.0,german,,mfa,171
g2p,v3.0.0,french,,mfa,809
dictionary,v3.0.0,german,,mfa,232
dictionary,v3.0.0,french,,mfa,891
acoustic,v3.0.0,german,,mfa,250
acoustic,v3.0.0,french,,mfa,885
dictionary,v3.0.0,bulgarian,,mfa,5
acoustic,v3.0.0,bulgarian,,mfa,2
g2p,v3.0.0,mandarin,taiwan_pinyin,mfa,8
g2p,v3.0.0,mandarin,taiwan,mfa,5
g2p,v3.0.0,mandarin,china_pinyin,mfa,140
g2p,v3.0.0,mandarin,china,mfa,83
dictionary,v3.0.0,mandarin,taiwan,mfa,40
dictionary,v3.0.0,mandarin,china,mfa,201
acoustic,v3.0.0,mandarin,,mfa,430
g2p,v3.0.0,thai,,mfa,2
g2p,v3.0.0,korean,,mfa,16
g2p,v3.0.0,korean,jamo,mfa,7
g2p,v3.0.0,japanese,katakana,mfa,11
g2p,v3.0.0,english,us,mfa,192
g2p,v3.0.0,english,uk,mfa,47
g2p,v3.0.0,english,nigeria,mfa,2
g2p,v3.0.0,english,india,mfa,14
dictionary,v3.0.0,thai,,mfa,19
dictionary,v3.0.0,korean,,mfa,64
dictionary,v3.0.0,japanese,,mfa,68
dictionary,v3.0.0,hausa,,mfa,10
dictionary,v3.0.0,english,us,mfa,356
dictionary,v3.0.0,english,us,arpa,5629
dictionary,v3.0.0,english,uk,mfa,134
dictionary,v3.0.0,english,nigeria,mfa,4
dictionary,v3.0.0,english,,mfa,294
dictionary,v3.0.0,english,india,mfa,36
acoustic,v3.0.0,thai,,mfa,14
acoustic,v3.0.0,korean,,mfa,67
acoustic,v3.0.0,japanese,,mfa,76
acoustic,v3.0.0,hausa,,mfa,10
acoustic,v3.0.0,english,us,arpa,5726
acoustic,v3.0.0,english,,mfa,806
g2p,v2.2.1,english,us,mfa,520
g2p,v2.2.1,english,uk,mfa,238
g2p,v2.2.1,english,nigeria,mfa,15
g2p,v2.2.1,english,india,mfa,39
dictionary,v2.2.1,english,us,mfa,930
dictionary,v2.2.1,english,uk,mfa,393
dictionary,v2.2.1,english,nigeria,mfa,17
dictionary,v2.2.1,english,,mfa,1866
dictionary,v2.2.1,english,india,mfa,75
acoustic,v2.2.1,english,,mfa,3647
tokenizer,v2.2.1,japanese,,mfa,198
tokenizer,v2.2.0,japanese,,mfa,11
ivector,v2.1.0,multilingual,,mfa,183
language_model,v2.0.1a,japanese,,mfa_lm,44
ivector,v2.1.0,ivector,,mfa,14
ivector,v2.1.0,english,,mfa,30
g2p,v2.0.1a,japanese,,mfa,135
g2p,v2.0.0a,japanese,,mfa,13
dictionary,v2.0.1a,japanese,,mfa,338
acoustic,v2.0.1a,japanese,,mfa,297
language_model,v2.0.0a,vietnamese,,mfa_lm,42
language_model,v2.0.0a,ukrainian,,mfa_lm,10
language_model,v2.0.0a,turkish,,mfa_lm,8
language_model,v2.0.0a,thai,,mfa_lm,16
language_model,v2.0.0a,swedish,,mfa_lm,7
language_model,v2.0.0a,swahili,,mfa_lm,6
language_model,v2.0.0a,spanish,,mfa_lm,48
language_model,v2.0.0a,russian,,mfa_lm,33
language_model,v2.0.0a,portuguese,,mfa_lm,17
language_model,v2.0.0a,polish,,mfa_lm,17
language_model,v2.0.0a,mandarin,,mfa_lm,363
language_model,v2.0.0a,korean,,mfa_lm,59
language_model,v2.0.0a,hausa,,mfa_lm,4
language_model,v2.0.0a,german,,mfa_lm,31
language_model,v2.0.0a,french,,mfa_lm,52
language_model,v2.0.0a,english,,mfa_lm,243
language_model,v2.0.0a,czech,,mfa_lm,7
language_model,v2.0.0a,croatian,,mfa_lm,9
language_model,v2.0.0a,bulgarian,,mfa_lm,6
g2p,v2.0.0a,vietnamese,hue,mfa,10
g2p,v2.0.0a,vietnamese,ho_chi_minh_city,mfa,44
g2p,v2.0.0a,vietnamese,hanoi,mfa,98
g2p,v2.0.0a,ukrainian,,mfa,30
g2p,v2.0.0a,turkish,,mfa,30
g2p,v2.0.0a,thai,,mfa,51
g2p,v2.0.0a,swedish,,mfa,26
g2p,v2.0.0a,swahili,,mfa,13
g2p,v2.0.0a,spanish,spain,mfa,4724
g2p,v2.0.0a,spanish,latin_america,mfa,247
g2p,v2.0.0a,russian,,mfa,122
g2p,v2.0.0a,portuguese,portugal,mfa,26
g2p,v2.0.0a,portuguese,brazil,mfa,46
g2p,v2.0.0a,polish,,mfa,59
g2p,v2.0.0a,korean,,mfa,188
g2p,v2.0.0a,korean,jamo,mfa,107
g2p,v2.0.0a,hausa,,mfa,7
g2p,v2.0.0a,german,,mfa,218
g2p,v2.0.0a,french,,mfa,291
g2p,v2.0.0a,english,us,mfa,355
g2p,v2.0.0a,english,us,arpa,2146
g2p,v2.0.0a,english,uk,mfa,83
g2p,v2.0.0a,english,nigeria,mfa,14
g2p,v2.0.0a,czech,,mfa,26
g2p,v2.0.0a,croatian,,mfa,25
g2p,v2.0.0a,bulgarian,,mfa,32
dictionary,v2.0.0a,vietnamese,,mfa,222
dictionary,v2.0.0a,vietnamese,ho_chi_minh_city,mfa,94
dictionary,v2.0.0a,vietnamese,hanoi,mfa,123
dictionary,v2.0.0a,ukrainian,,mfa,93
dictionary,v2.0.0a,turkish,,mfa,56
dictionary,v2.0.0a,thai,,mfa,111
dictionary,v2.0.0a,swedish,,mfa,66
dictionary,v2.0.0a,swahili,,mfa,67
dictionary,v2.0.0a,spanish,spain,mfa,4738
dictionary,v2.0.0a,spanish,,mfa,453
dictionary,v2.0.0a,spanish,latin_america,mfa,222
dictionary,v2.0.0a,russian,,mfa,487
dictionary,v2.0.0a,portuguese,portugal,mfa,34
dictionary,v2.0.0a,portuguese,,mfa,212
dictionary,v2.0.0a,portuguese,brazil,mfa,165
dictionary,v2.0.0a,polish,,mfa,171
dictionary,v2.0.0a,mandarin,taiwan,mfa,284
dictionary,v2.0.0a,mandarin,,mfa,1302
dictionary,v2.0.0a,mandarin,erhua,mfa,115
dictionary,v2.0.0a,mandarin,china,mfa,1021
dictionary,v2.0.0a,korean,,mfa,424
dictionary,v2.0.0a,hausa,,mfa,32
dictionary,v2.0.0a,german,,mfa,546
dictionary,v2.0.0a,french,,mfa,769
dictionary,v2.0.0a,english,us,mfa,663
dictionary,v2.0.0a,english,us,arpa,9197
dictionary,v2.0.0a,english,uk,mfa,361
dictionary,v2.0.0a,english,nigeria,mfa,26
dictionary,v2.0.0a,english,,mfa,858
dictionary,v2.0.0a,czech,,mfa,51
dictionary,v2.0.0a,croatian,,mfa,27
dictionary,v2.0.0a,bulgarian,,mfa,23
acoustic,v2.0.0a,vietnamese,,mfa,267
acoustic,v2.0.0a,ukrainian,,mfa,88
acoustic,v2.0.0a,turkish,,mfa,56
acoustic,v2.0.0a,thai,,mfa,106
acoustic,v2.0.0a,swedish,,mfa,105
acoustic,v2.0.0a,swahili,,mfa,56
acoustic,v2.0.0a,spanish,,mfa,5247
acoustic,v2.0.0a,russian,,mfa,509
acoustic,v2.0.0a,portuguese,,mfa,373
acoustic,v2.0.0a,polish,,mfa,179
acoustic,v2.0.0a,mandarin,,mfa,3023
acoustic,v2.0.0a,korean,,mfa,505
acoustic,v2.0.0a,hausa,,mfa,24
acoustic,v2.0.0a,german,,mfa,653
acoustic,v2.0.0a,french,,mfa,762
acoustic,v2.0.0a,english,us,arpa,10836
acoustic,v2.0.0a,english,,mfa,1861
acoustic,v2.0.0a,czech,,mfa,50
acoustic,v2.0.0a,croatian,,mfa,24
acoustic,v2.0.0a,bulgarian,,mfa,26
g2p,v2.0.0,russian,,mfa,45
g2p,v2.0.0,german,,mfa,26
g2p,v2.0.0,french,,mfa,32
g2p,v2.0.0,english,us,mfa,115
g2p,v2.0.0,english,uk,mfa,32
g2p,v2.0.0,english,nigeria,mfa,8
g2p,v2.0.0,czech,,mfa,7
dictionary,v2.0.0,russian,,mfa,54
dictionary,v2.0.0,mandarin,taiwan,mfa,46
dictionary,v2.0.0,mandarin,,mfa,371
dictionary,v2.0.0,mandarin,erhua,mfa,84
dictionary,v2.0.0,mandarin,china,mfa,555
dictionary,v2.0.0,german,,mfa,99
dictionary,v2.0.0,french,,mfa,134
dictionary,v2.0.0,english,us,mfa,236
dictionary,v2.0.0,english,uk,mfa,222
dictionary,v2.0.0,english,nigeria,mfa,14
dictionary,v2.0.0,english,,mfa,347
dictionary,v2.0.0,czech,,mfa,15
acoustic,v2.0.0,russian,,mfa,34
acoustic,v2.0.0,mandarin,,mfa,1136
